review_task,category,platform,skill,skill_path,owasp_refs
api-design/breaking-api-change,api-design,all,api-design,skills/concerns/api-design.md,
api-design/inconsistent-response-shape,api-design,"web,api,microservices",api-design,skills/concerns/api-design.md,
api-design/input-validation,api-design,"web,api,mobile",api-design,skills/concerns/api-design.md,
api-design/microservices/api-contract,api-design,microservices,api-design,skills/concerns/api-design.md,
api-design/microservices/coupling,api-design,microservices,api-design,skills/concerns/api-design.md,
api-design/microservices/error-propagation,api-design,microservices,api-design,skills/concerns/api-design.md,
api-design/missing-pagination,api-design,"web,api,microservices",api-design,skills/concerns/api-design.md,
api-design/mobile/api-versioning,api-design,mobile,api-design,skills/concerns/api-design.md,
api-design/mobile/excessive-data-fetch,api-design,mobile,api-design,skills/concerns/api-design.md,
api-design/mobile/offline-sync,api-design,mobile,api-design,skills/concerns/api-design.md,
code-quality/android/accessibility,code-quality,mobile,code-quality,skills/concerns/code-quality.md,
code-quality/android/deprecated-api,code-quality,mobile,code-quality,skills/concerns/code-quality.md,
code-quality/dead-code,code-quality,all,code-quality,skills/concerns/code-quality.md,
code-quality/dry-violations,code-quality,all,code-quality,skills/concerns/code-quality.md,
code-quality/ios/accessibility,code-quality,mobile,code-quality,skills/concerns/code-quality.md,
code-quality/ios/deprecated-api,code-quality,mobile,code-quality,skills/concerns/code-quality.md,
code-quality/microservices/api-documentation,code-quality,microservices,code-quality,skills/concerns/code-quality.md,
code-quality/microservices/naming-conventions,code-quality,microservices,code-quality,skills/concerns/code-quality.md,
code-quality/missing-documentation,code-quality,all,code-quality,skills/concerns/code-quality.md,
code-quality/naming-readability,code-quality,all,code-quality,skills/concerns/code-quality.md,
code-quality/web/accessibility,code-quality,web,code-quality,skills/concerns/code-quality.md,
concurrency/android/coroutine-misuse,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/android/handler-looper,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/android/main-thread-blocking,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/async-misuse,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/deadlock,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/ios/actor-isolation,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/ios/gcd-misuse,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/ios/main-thread-blocking,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/livelock,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/microservices/distributed-lock,concurrency,microservices,concurrency,skills/concerns/concurrency.md,
concurrency/microservices/event-ordering,concurrency,microservices,concurrency,skills/concerns/concurrency.md,
concurrency/microservices/thundering-herd,concurrency,microservices,concurrency,skills/concerns/concurrency.md,
concurrency/race-condition,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/thread-unsafe-collection,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/web/event-loop-blocking,concurrency,web,concurrency,skills/concerns/concurrency.md,
concurrency/web/worker-misuse,concurrency,web,concurrency,skills/concerns/concurrency.md,
correctness/android/config-change-crash,correctness,mobile,correctness,skills/concerns/correctness.md,
correctness/android/lifecycle-bugs,correctness,mobile,correctness,skills/concerns/correctness.md,
correctness/android/permission-handling,correctness,mobile,correctness,skills/concerns/correctness.md,
correctness/floating-point-comparison,correctness,all,correctness,skills/concerns/correctness.md,
correctness/integer-overflow,correctness,all,correctness,skills/concerns/correctness.md,
correctness/ios/force-unwrap,correctness,mobile,correctness,skills/concerns/correctness.md,
correctness/ios/lifecycle-bugs,correctness,mobile,correctness,skills/concerns/correctness.md,
correctness/ios/retain-cycle,correctness,mobile,correctness,skills/concerns/correctness.md,
correctness/logic-inversion,correctness,all,correctness,skills/concerns/correctness.md,
correctness/microservices/eventual-consistency,correctness,microservices,correctness,skills/concerns/correctness.md,
correctness/microservices/idempotency,correctness,microservices,correctness,skills/concerns/correctness.md,
correctness/microservices/partial-failure,correctness,microservices,correctness,skills/concerns/correctness.md,
correctness/null-deref,correctness,all,correctness,skills/concerns/correctness.md,
correctness/off-by-one,correctness,all,correctness,skills/concerns/correctness.md,
correctness/web/type-coercion,correctness,web,correctness,skills/concerns/correctness.md,
data/android/content-provider-exposure,data,mobile,data-integrity,skills/concerns/data-integrity.md,
data/android/room-migration,data,mobile,data-integrity,skills/concerns/data-integrity.md,
data/ios/coredata-migration,data,mobile,data-integrity,skills/concerns/data-integrity.md,
data/ios/coredata-threading,data,mobile,data-integrity,skills/concerns/data-integrity.md,
data/microservices/data-ownership,data,microservices,data-integrity,skills/concerns/data-integrity.md,
data/microservices/distributed-transaction,data,microservices,data-integrity,skills/concerns/data-integrity.md,
data/microservices/schema-evolution,data,microservices,data-integrity,skills/concerns/data-integrity.md,
data/migration-safety,data,"web,api",data-integrity,skills/concerns/data-integrity.md,
data/pii-exposure,data,all,data-integrity,skills/concerns/data-integrity.md,
data/schema-validation,data,"web,api,microservices",data-integrity,skills/concerns/data-integrity.md,
data/serialization-mismatch,data,all,data-integrity,skills/concerns/data-integrity.md,
observability/android/anr-detection,observability,mobile,observability,skills/concerns/observability.md,
observability/android/crash-reporting,observability,mobile,observability,skills/concerns/observability.md,
observability/ios/crash-symbolication,observability,mobile,observability,skills/concerns/observability.md,
observability/ios/metrickit-gaps,observability,mobile,observability,skills/concerns/observability.md,
observability/logging-gaps,observability,all,observability,skills/concerns/observability.md,
observability/microservices/correlation-id,observability,microservices,observability,skills/concerns/observability.md,
observability/microservices/log-aggregation,observability,microservices,observability,skills/concerns/observability.md,
observability/microservices/slo-monitoring,observability,microservices,observability,skills/concerns/observability.md,
observability/missing-metrics,observability,"web,api,microservices",observability,skills/concerns/observability.md,
observability/missing-tracing,observability,microservices,observability,skills/concerns/observability.md,
performance/algorithmic-complexity,performance,all,performance,skills/concerns/performance.md,
performance/android/bitmap-memory,performance,mobile,performance,skills/concerns/performance.md,
performance/android/overdraw,performance,mobile,performance,skills/concerns/performance.md,
performance/android/startup-time,performance,mobile,performance,skills/concerns/performance.md,
performance/ios/autolayout-perf,performance,mobile,performance,skills/concerns/performance.md,
performance/ios/large-asset-loading,performance,mobile,performance,skills/concerns/performance.md,
performance/ios/main-thread-work,performance,mobile,performance,skills/concerns/performance.md,
performance/memory-leak,performance,all,performance,skills/concerns/performance.md,
performance/microservices/connection-pool,performance,microservices,performance,skills/concerns/performance.md,
performance/microservices/latency-chain,performance,microservices,performance,skills/concerns/performance.md,
performance/microservices/payload-bloat,performance,microservices,performance,skills/concerns/performance.md,
performance/n-plus-one,performance,"web,api",performance,skills/concerns/performance.md,
performance/unbounded-growth,performance,all,performance,skills/concerns/performance.md,
performance/web/bundle-size,performance,web,performance,skills/concerns/performance.md,
performance/web/core-web-vitals,performance,web,performance,skills/concerns/performance.md,
performance/web/hydration-mismatch,performance,web,performance,skills/concerns/performance.md,
performance/web/unnecessary-rerender,performance,web,performance,skills/concerns/performance.md,
reliability/android/crash-handling,reliability,mobile,reliability,skills/concerns/reliability.md,
reliability/android/offline-resilience,reliability,mobile,reliability,skills/concerns/reliability.md,
reliability/android/process-death,reliability,mobile,reliability,skills/concerns/reliability.md,
reliability/error-handling,reliability,all,reliability,skills/concerns/reliability.md,
reliability/graceful-degradation,reliability,"web,microservices",reliability,skills/concerns/reliability.md,
reliability/ios/background-task-expiry,reliability,mobile,reliability,skills/concerns/reliability.md,
reliability/ios/crash-recovery,reliability,mobile,reliability,skills/concerns/reliability.md,
reliability/ios/network-resilience,reliability,mobile,reliability,skills/concerns/reliability.md,
reliability/microservices/circuit-breaker,reliability,microservices,reliability,skills/concerns/reliability.md,
reliability/microservices/dead-letter-queue,reliability,microservices,reliability,skills/concerns/reliability.md,
reliability/microservices/health-checks,reliability,microservices,reliability,skills/concerns/reliability.md,
reliability/resource-cleanup,reliability,all,reliability,skills/concerns/reliability.md,
reliability/retry-without-backoff,reliability,all,reliability,skills/concerns/reliability.md,
reliability/timeout-handling,reliability,all,reliability,skills/concerns/reliability.md,
security/ai-agent-security,security,all,security-ai-llm,skills/concerns/security-ai-llm.md,
security/android/backup-exposure,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/android/exported-components,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/android/insecure-crypto,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/android/insecure-storage,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/android/intent-injection,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/android/logging-sensitive-data,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/android/network-security,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/android/webview-security,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/auth-bypass,security,"web,api,mobile",security-auth,skills/concerns/security-auth.md,
security/authentication-flaws,security,all,security-auth,skills/concerns/security-auth.md,
security/cicd-security,security,all,security-infrastructure,skills/concerns/security-infrastructure.md,
security/clickjacking,security,web,security-client-side,skills/concerns/security-client-side.md,
security/command-injection,security,all,security-infrastructure,skills/concerns/security-infrastructure.md,
security/cookie-security,security,web,security-client-side,skills/concerns/security-client-side.md,
security/cors-misconfiguration,security,"web,api",security-network,skills/concerns/security-network.md,
security/credential-stuffing,security,"web,api",security-auth,skills/concerns/security-auth.md,
security/csrf,security,web,security-auth,skills/concerns/security-auth.md,
security/denial-of-service,security,all,security-network,skills/concerns/security-network.md,
security/dependency-vulnerability,security,all,security-supply-chain,skills/concerns/security-supply-chain.md,
security/docker-misconfiguration,security,all,security-infrastructure,skills/concerns/security-infrastructure.md,
security/dom-xss,security,web,security-injection,skills/concerns/security-injection.md,
security/file-upload,security,"web,api",security-data-protection,skills/concerns/security-data-protection.md,
security/graphql-security,security,"web,api",security-api,skills/concerns/security-api.md,
security/iac-security,security,all,security-infrastructure,skills/concerns/security-infrastructure.md,
security/insecure-crypto,security,all,security-data-protection,skills/concerns/security-data-protection.md,
security/insecure-deserialization,security,all,security-data-protection,skills/concerns/security-data-protection.md,
security/insufficient-transport-security,security,"web,api,mobile",security-network,skills/concerns/security-network.md,
security/ios/ats-bypass,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/ios/insecure-crypto,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/ios/insecure-storage,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/ios/jailbreak-detection-bypass,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/ios/keychain-misuse,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/ios/pasteboard-leak,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/ios/screenshot-exposure,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/ios/url-scheme-hijack,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/ldap-injection,security,all,security-injection,skills/concerns/security-injection.md,
security/mass-assignment,security,"web,api",security-data-protection,skills/concerns/security-data-protection.md,
security/mcp-tool-poisoning,security,all,security-ai-llm,skills/concerns/security-ai-llm.md,
security/microservices/auth,security,microservices,security-infrastructure,skills/concerns/security-infrastructure.md,
security/microservices/broken-trust-boundary,security,microservices,security-infrastructure,skills/concerns/security-infrastructure.md,
security/microservices/cascading-failure,security,microservices,security-infrastructure,skills/concerns/security-infrastructure.md,
security/microservices/data-exposure,security,microservices,security-infrastructure,skills/concerns/security-infrastructure.md,
security/microservices/distributed-session,security,microservices,security-infrastructure,skills/concerns/security-infrastructure.md,
security/microservices/insecure-messaging,security,microservices,security-infrastructure,skills/concerns/security-infrastructure.md,
security/microservices/service-mesh-bypass,security,microservices,security-infrastructure,skills/concerns/security-infrastructure.md,
security/missing-security-headers,security,web,security-network,skills/concerns/security-network.md,
security/mobile/binary-hardening,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/mobile/biometric-auth-bypass,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/mobile/cert-pinning,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/mobile/deep-link-hijack,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/mobile/privacy-data-collection,security,mobile,security-mobile,skills/concerns/security-mobile.md,
security/multi-tenant-isolation,security,all,security-infrastructure,skills/concerns/security-infrastructure.md,
security/nosql-injection,security,all,security-injection,skills/concerns/security-injection.md,
security/oauth-misconfiguration,security,"web,api",security-auth,skills/concerns/security-auth.md,
security/open-redirect,security,"web,api",security-network,skills/concerns/security-network.md,
security/password-reset-flaws,security,"web,api",security-auth,skills/concerns/security-auth.md,
security/password-storage,security,all,security-auth,skills/concerns/security-auth.md,
security/path-traversal,security,"web,api",security-data-protection,skills/concerns/security-data-protection.md,
security/pinning-bypass,security,mobile,security-supply-chain,skills/concerns/security-supply-chain.md,
security/prompt-injection,security,all,security-ai-llm,skills/concerns/security-ai-llm.md,
security/prototype-pollution,security,"web,api",security-client-side,skills/concerns/security-client-side.md,
security/regex-dos,security,all,security-network,skills/concerns/security-network.md,
security/rest-security,security,"web,api",security-api,skills/concerns/security-api.md,
security/secrets-exposure,security,all,security-data-protection,skills/concerns/security-data-protection.md,
security/security-error-info-leak,security,all,security-auth,skills/concerns/security-auth.md,
security/security-logging,security,all,security-infrastructure,skills/concerns/security-infrastructure.md,
security/serverless-security,security,all,security-infrastructure,skills/concerns/security-infrastructure.md,
security/session-management,security,"web,api",security-auth,skills/concerns/security-auth.md,
security/sql-injection,security,"web,api",security-injection,skills/concerns/security-injection.md,
security/ssrf,security,"web,api",security-network,skills/concerns/security-network.md,
security/third-party-code,security,web,security-client-side,skills/concerns/security-client-side.md,
security/transaction-authorization,security,"web,api",security-api,skills/concerns/security-api.md,
security/web/client-side-storage,security,web,security-client-side,skills/concerns/security-client-side.md,
security/web/csp-bypass,security,web,security-client-side,skills/concerns/security-client-side.md,
security/web/html-injection,security,web,security-client-side,skills/concerns/security-client-side.md,
security/web/postmessage-origin,security,web,security-client-side,skills/concerns/security-client-side.md,
security/web/subresource-integrity,security,web,security-client-side,skills/concerns/security-client-side.md,
security/xml-external-entity,security,all,security-supply-chain,skills/concerns/security-supply-chain.md,
security/xss,security,web,security-client-side,skills/concerns/security-client-side.md,
testing/android/instrumentation-gaps,testing,mobile,testing,skills/concerns/testing.md,
testing/android/ui-test-gaps,testing,mobile,testing,skills/concerns/testing.md,
testing/flaky-test-patterns,testing,all,testing,skills/concerns/testing.md,
testing/ios/preview-divergence,testing,mobile,testing,skills/concerns/testing.md,
testing/ios/xctest-gaps,testing,mobile,testing,skills/concerns/testing.md,
testing/microservices/contract-testing,testing,microservices,testing,skills/concerns/testing.md,
testing/microservices/integration-gaps,testing,microservices,testing,skills/concerns/testing.md,
testing/missing-test-coverage,testing,all,testing,skills/concerns/testing.md,
testing/mock-overuse,testing,all,testing,skills/concerns/testing.md,
testing/test-isolation,testing,all,testing,skills/concerns/testing.md,
testing/weak-assertions,testing,all,testing,skills/concerns/testing.md,
testing/web/accessibility-testing,testing,web,testing,skills/concerns/testing.md,
testing/web/e2e-gaps,testing,web,testing,skills/concerns/testing.md,
